ELECTRONIC OLFACTORY SYSTEM CLASSIFICATION RESULTS
14-Feb-2022 13:13:29

Training set: C:\users\jdaniel\Escritorio\NUEVO ENTRENAMIENTO\ENTRENAMIENTO_II_02022021.fs
Match set: C:\users\jdaniel\Escritorio\NUEVO ENTRENAMIENTO\MUESTRAS PROBLEMA\compilados_14022022_conlampantes.ds
Recognition algorithm: KNN: 0 2: NO_DRED: 0: [1 2 3 4]: STD: 2
Feature extraction algorithm: [2 3 4 6], , § Classical [1 0 2 7 0 0], 1
N pattern: 75

  N |              True label |      Match label
 48 |     [Compound=2021016C] | [CATA=AOVE](45.9%) [CATA=AOV](28.5%) [CATA=LAM](25.6%) 
 49 |     [Compound=2021017A] | [CATA=AOVE](52.7%) [CATA=AOV](25.4%) [CATA=LAM](21.9%) 
 50 |     [Compound=2021017B] | [CATA=AOVE](52.4%) [CATA=AOV](25.6%) [CATA=LAM](22.0%) 
 51 |     [Compound=2021017C] | [CATA=AOVE](39.4%) [CATA=AOV](33.9%) [CATA=LAM](26.7%) 
 52 |     [Compound=2021018A] | [CATA=AOVE](37.4%) [CATA=LAM](31.4%) [CATA=AOV](31.2%) 
 53 |     [Compound=2021018B] | [CATA=AOVE](37.1%) [CATA=LAM](31.7%) [CATA=AOV](31.1%) 
 54 |     [Compound=2021018C] | [CATA=AOVE](37.8%) [CATA=LAM](31.4%) [CATA=AOV](30.9%) 
 55 |     [Compound=2021019A] | [CATA=AOVE](39.0%) [CATA=LAM](31.4%) [CATA=AOV](29.6%) 
 56 |     [Compound=2021019B] | [CATA=AOVE](39.6%) [CATA=LAM](30.5%) [CATA=AOV](29.9%) 
 57 |     [Compound=2021019C] | [CATA=AOVE](53.1%) [CATA=AOV](24.6%) [CATA=LAM](22.3%) 
 58 |     [Compound=2021020A] | [CATA=AOVE](48.5%) [CATA=LAM](25.8%) [CATA=AOV](25.8%) 
 59 |     [Compound=2021020B] | [CATA=AOVE](40.0%) [CATA=LAM](30.4%) [CATA=AOV](29.6%) 
 60 |     [Compound=2021020C] | [CATA=AOVE](45.8%) [CATA=AOV](28.6%) [CATA=LAM](25.6%) 
 61 |     [Compound=2021021A] | ?? [CATA=AOV](35.7%) [CATA=LAM](35.5%) [CATA=AOVE](28.8%) 
 62 |     [Compound=2021021B] | [CATA=LAM](42.1%) [CATA=AOV](35.2%) [CATA=AOVE](22.7%) 
 63 |     [Compound=2021021C] | [CATA=LAM](40.4%) [CATA=AOV](32.8%) [CATA=AOVE](26.8%) 
 64 |     [Compound=2021022A] | [CATA=LAM](39.7%) [CATA=AOVE](31.9%) [CATA=AOV](28.4%) 
 65 |     [Compound=2021022B] | [CATA=LAM](36.4%) [CATA=AOVE](34.7%) [CATA=AOV](29.0%) 
 66 |     [Compound=2021022C] | [CATA=AOVE](37.7%) [CATA=LAM](34.7%) [CATA=AOV](27.6%) 
 67 |     [Compound=2021023A] | [CATA=LAM](39.9%) [CATA=AOVE](32.0%) [CATA=AOV](28.0%) 
 68 |     [Compound=2021023B] | [CATA=AOVE](39.0%) [CATA=LAM](32.7%) [CATA=AOV](28.3%) 
 69 |     [Compound=2021023C] | [CATA=LAM](35.3%) [CATA=AOVE](33.9%) [CATA=AOV](30.8%) 
 70 |     [Compound=2021024A] | [CATA=LAM](42.8%) [CATA=AOV](33.4%) [CATA=AOVE](23.8%) 
 71 |     [Compound=2021024B] | [CATA=LAM](40.7%) [CATA=AOV](36.3%) [CATA=AOVE](23.0%) 
 72 |     [Compound=2021024C] | [CATA=AOV](39.5%) [CATA=LAM](33.9%) [CATA=AOVE](26.6%) 
 73 |     [Compound=2021025A] | [CATA=AOV](37.9%) [CATA=LAM](34.0%) [CATA=AOVE](28.1%) 
 74 |     [Compound=2021025B] | [CATA=LAM](41.3%) [CATA=AOV](34.0%) [CATA=AOVE](24.6%) 
 75 |     [Compound=2021025C] | [CATA=AOV](39.9%) [CATA=LAM](35.3%) [CATA=AOVE](24.8%) 
